Zomato	Zomato Corporate Office	Pioneer Park, Sector 61, Gurugram, Haryana 122098	28.4148569	77.0899751	zomato.com
Eternal	Eternal Corporate Office	Alahawas, Sector 59, Gurugram, Haryana 122011	28.4129905	77.117451	eternal.com
Blinkit	Blinkit Corporate Office	Pioneer Square, Golf Course Ext Rd, Sector 62, Gurugram, Haryana 122098	28.4150291	77.0902298	blinkit.com
Paytm	Paytm	One Skymark, Sector 98, Noida, Uttar Pradesh 201304	28.5324297	77.3612574	paytm.com
MakeMyTrip	MakeMyTrip	Tower B, DLF Epitome, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002	28.4895696	77.0922369	makemytrip.com
Goibibo	Goibibo	Epitome Building No. 5, DLF Phase 2, Gurugram, Haryana 122002	28.4903541	77.0929071	goibibo.com
OYO	OYO Corporate Office	Sector 69, Gurugram, Haryana 122101	28.3994044	77.0386809	oyorooms.com
Policybazaar	Policybazaar	Plot No 119, Sector 44, Gurugram, Haryana 122001	28.4504526	77.0717623	policybazaar.com
Paisabazaar	Paisabazaar	135 P, Bhagwan Mahaveer Marg, Sector 44, Gurugram, Haryana 122003	28.4499393	77.0721561	paisabazaar.com
Delhivery	Delhivery HQ	Sector Rd, Sector 44, Gurugram, Haryana 122003	28.4550405	77.0704736	delhivery.com
Lenskart	Lenskart HQ	Vipul Tech Square, Golf Course Rd, Sector 42, Gurugram, Haryana 122009	28.4596684	77.0947753	lenskart.com
Snapdeal	Snapdeal	Capital Cyberspace, Sector 59, Gurugram, Haryana 122098	28.4010757	77.1032957	snapdeal.com
Urban Company	Urban Company	183, Udyog Vihar II Rd, Sector 20, Gurugram, Haryana 122016	28.5124048	77.0839868	urbancompany.com
CARS24	CARS24 Corporate Office	SAS Building, Tower C, Sector 38, Gurugram, Haryana 122001	28.4416842	77.0392863	cars24.com
Spinny	Spinny Corporate Office	Capital Business Park, Sector 48, Gurugram, Haryana 122018	28.4156818	77.0393364	spinny.com
Droom	Droom	336, Phase IV, Udyog Vihar, Sector 19, Gurugram, Haryana 122015	28.5009912	77.0805991	droom.in
OfBusiness	OFB Tech Limited	Global Business Park, MG Road, Sector 26, Gurugram, Haryana 122002	28.4812725	77.1022654	ofbusiness.com
Oxyzo	OXYZO Financial Services	Tower A, Global Business Park, Sector 26, Gurugram, Haryana 122002	28.4812725	77.1022654	oxyzo.in
BharatPe	BharatPe	Tower C, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002	28.4951006	77.08915	bharatpe.com
Honasa Consumer (Mamaearth)	Honasa Consumer HQ	BLM Tower, Sector 44, Gurugram, Haryana 122003	28.4417558	77.0560865	honasa.in
HealthKart	HealthKart HQ	Maxworth Premier Urban Tower B, Sector 14, Gurugram, Haryana 122001	28.467696	77.040956	healthkart.com
Pristyn Care	Pristyn Care HQ	Capital The Cityscape, Sector 66, Gurugram, Haryana 122101	28.4032689	77.0591945	pristyncare.com
Tata 1mg	Tata 1mg	Motorola Excellence Centre, MG Road, Sector 14, Gurugram, Haryana 122007	28.4712711	77.0486534	1mg.com
Innovaccer	Innovaccer	Candor Techspace, Block B, Sector 62, Noida, Uttar Pradesh 201309	28.6216973	77.3570759	innovaccer.com
GreyOrange	GreyOrange India	Bestech Business Towers, NH8, Sector 34, Gurugram, Haryana 122004	28.4299547	77.0063643	greyorange.com
