Rapido	Rapido Gurugram	Plot 108, Silokhra Rd, Sector 30, Gurugram, Haryana 122001	28.4596821	77.0557254	rapido.bike
ixigo	ixigo	Veritas Building, Golf Course Rd, Sector 53, Gurugram, Haryana 122011	28.4458792	77.0984062	ixigo.com
Yatra	Yatra Online	Gulf Adiba, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016	28.5080247	77.0855059	yatra.com
EaseMyTrip	EaseMyTrip.com	223, Patparganj Industrial Area, New Delhi, Delhi 110092	28.6426811	77.3147392	easemytrip.com
Cleartrip	Cleartrip	WeWork DLF Forum, DLF Cyber City, DLF Phase 3, Gurugram, Haryana 122002	28.4961742	77.0915845	cleartrip.com
TravelTriangle	Holiday Triangle Travel	Batra House, Sector 32, Gurugram, Haryana 122001	28.4474481	77.0432685	traveltriangle.com
FabHotels	FabHotels Head Office	190, Udyog Vihar II Rd, Sector 20, Gurugram, Haryana 122016	28.5102701	77.0863613	fabhotels.com
SAMHI Hotels	SAMHI Hotels	Building 10C, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002	28.493484	77.088211	samhi.co.in
Zostel	Zostel Office	The Circle, Millennium City Centre, Sector 29, Gurugram, Haryana 122009	28.4591247	77.0728063	zostel.com
MPL	Mobile Premier League	451, Udyog Vihar Phase V Rd, Sector 18, Gurugram, Haryana 122016	28.4993272	77.08476	mpl.live
Zupee	Zupee (Cashgrail)	Unitech Trade Centre, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009	28.458821	77.0771323	zupee.com
WinZO	WinZO Games	A-20, Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028	28.6144762	76.9996743	winzogames.com
Rooter	Rooter Sports Technologies	55, Community Centre, East of Kailash, New Delhi, Delhi 110065	28.5591329	77.2453555	rooter.gg
Sportskeeda	Absolute Sports	Nirmal Tower, Barakhamba Rd, New Delhi, Delhi 110001	28.630735	77.2241395	sportskeeda.com
Dailyhunt	Dailyhunt Gurgaon	113, Sector 44 Rd, Sector 44, Gurugram, Haryana 122003	28.451313	77.0719406	dailyhunt.in
Inshorts	Inshorts	Tower BGR, Film City, Sector 16A, Noida, Uttar Pradesh 201301	28.5656162	77.3161353	inshorts.com
Razorpay	Razorpay Gurugram	54, Golf Course Rd, DLF Phase 2, Sector 54, Gurugram, Haryana 122002	28.4952293	77.0918281	razorpay.com
Pine Labs	Pine Labs	Candor Techspace Tower 6, Sector 62, Noida, Uttar Pradesh 201309	28.6216838	77.3581213	pinelabs.com
Mswipe	Mswipe	Najafgarh Road Industrial Area, Moti Nagar, New Delhi, Delhi 110015	28.6608666	77.1503322	mswipe.com
MobiKwik	MobiKwik HQ	Pegasus One, Golf Course Rd, Sector 53, Gurugram, Haryana 122003	28.4464971	77.0993138	mobikwik.com
Freecharge	Freecharge Payment Technologies	DLF Cyber Greens, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002	28.4937186	77.0928277	freecharge.in
Upstox	Upstox Delhi	602, Barakhamba Rd, Connaught Place, New Delhi, Delhi 110001	28.6298603	77.2229918	upstox.com
Angel One	Angel One Delhi Office	Regal Building, Connaught Place, New Delhi, Delhi 110001	28.630901	77.216901	angelone.in
INDmoney	INDmoney Tech	Suncity Success Tower, Sector 65, Gurugram, Haryana 122005	28.4089626	77.0705671	indmoney.com
Lendingkart	Lendingkart Gurugram	Unitech Trade Centre, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009	28.4588381	77.0770807	lendingkart.com
Indifi	Indifi Technologies	Sewa Towers, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015	28.4920228	77.0781699	indifi.com
Aye Finance	Aye Finance	Arya Samaj Rd, Greenwood City, Sector 45, Gurugram, Haryana 122003	28.4437979	77.0595615	ayefin.com
Yubi	Yubi (formerly CredAvenue)	DLF Building 9B, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002	28.4947732	77.0933785	go-yubi.com
Perfios	Perfios Software Solutions	Barakhamba Tower, Barakhamba, New Delhi, Delhi 110001	28.6306026	77.2246546	perfios.com
Signzy	Signzy Technologies	Ambience Mall, Gurugram, Haryana 122010	28.5057479	77.095931	signzy.com
Cashfree Payments	Cashfree Payments Gurgaon	9A, DLF Cyber City, DLF Phase 3, Gurugram, Haryana 122002	28.4963787	77.0929943	cashfree.com
Juspay	Juspay Delhi	Tower D, DLF Cyber Greens, DLF Phase 2, Gurugram, Haryana 122002	28.4935331	77.0925536	juspay.io
PayU	PayU Payments	Bestech Business Centre, Sohna Rd, Sector 48, Gurugram, Haryana 122018	28.4043428	77.0430436	payu.in
