NDTV	NDTV	Jaypee Wishtown, Noida Expressway, Sector 129, Noida, Uttar Pradesh 201304	28.5096013	77.386152	ndtv.com
HT Media	HT Media	18-20, KG Marg, Barakhamba, New Delhi, Delhi 110001	28.6279916	77.2231362	htmedia.in
Times Internet	Times Internet	Times Centre, Film City, Sector 16A, Noida, Uttar Pradesh 201301	28.5663978	77.3183763	timesinternet.in
TVF	The Viral Fever	FC-24C, Film City, Sector 16A, Noida, Uttar Pradesh 201301	28.5710213	77.3158142	tvfplay.com
Kwan Entertainment	Kwan Ventures	Two Horizon Centre, Sector 43, Gurugram, Haryana 122002	28.4505835	77.0973201	kwanentertainment.com
LeadSquared	LeadSquared Noida	World Trade Tower, Block B, Sector 16, Noida, Uttar Pradesh 201301	28.5768901	77.3173264	leadsquared.com
Sirion	SirionLabs	516, Udyog Vihar Phase III, Sector 20, Gurugram, Haryana 122016	28.4856784	77.0754114	sirion.ai
Innefu Labs	Innefu Labs	PP Trade Centre, Netaji Subhash Place, Pitampura, Delhi 110034	28.6933137	77.1484414	innefu.com
Staqu Technologies	Staqu Technologies	Global Business Park Tower B, Sector 26, Gurugram, Haryana 122002	28.4807665	77.1021305	staqu.com
Fractal Analytics	Fractal Analytics Gurugram	Chimes Building, Plot 61, Sector 44, Gurugram, Haryana 122003	28.4519664	77.0682095	fractal.ai
Infogain	Infogain	Tower 14B, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002	28.4973023	77.0939023	infogain.com
Zenatix	Zenatix Solutions	DLF Downtown DT-4, DLF Phase 3, Sector 24, Gurugram, Haryana 122002	28.5030454	77.0958937	zenatix.com
Revolt Motors	Revolt Motors Head Office	Capital Tower, Udyog Vihar III, Sector 19, Gurugram, Haryana 122015	28.5081248	77.0911799	revoltmotors.com
Okinawa Autotech	Okinawa Autotech	JMD Megapolis, Sohna Rd, Sector 48, Gurugram, Haryana 122018	28.4192172	77.0386236	okinawascooters.com
Hop Electric	Hop Electric HQ	Imperia Mindspace, Golf Course Ext Rd, Sector 62, Gurugram, Haryana 122098	28.4023416	77.0856754	hopelectric.in
Vecmocon	Vecmocon Technologies	Mohan Cooperative Industrial Estate, New Delhi, Delhi 110044	28.5107464	77.2961526	vecmocon.com
Chargeup	Chargeup (Echargeup Solutions)	300/3, MG Road, Sultanpur, New Delhi, Delhi 110030	28.4985916	77.1643555	chargeup.tech
Lohum	Lohum Cleantech	Wegmans Business Park, Ecotech-II, Greater Noida, Uttar Pradesh 201306	28.4911355	77.4892833	lohum.com
Chakr Innovation	Chakr Innovation	535, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016	28.4991837	77.0841242	chakr.in
Fourth Partner Energy	Fourth Partner Energy	Perfect House, DLF Phase 2, Sector 25, Gurugram, Haryana 122002	28.4828868	77.0919228	fourthpartner.co
Amplus Solar	Amplus Solar	Emaar Palm Square, Golf Course Ext Rd, Sector 66, Gurugram, Haryana 122101	28.4020361	77.0503257	amplussolar.com
SunSource Energy	SunSource Energy	Club 125, Tower A, Sector 125, Noida, Uttar Pradesh 201313	28.5439907	77.3299209	sunsource-energy.com
Loom Solar	Loom Solar Corporate Office	Plot 14/4, Mathura Rd, Sector 31, Faridabad, Haryana 121003	28.4492709	77.307393	loomsolar.com
Waaree Energies	Waaree Energies Delhi	232B, Okhla Phase III, New Delhi, Delhi 110020	28.551903	77.2695124	waaree.com
Hero MotoCorp	Hero MotoCorp North Zone	DLF Center Court, Sector 42, Gurugram, Haryana 122009	28.4573959	77.0977173	heromotocorp.com
Maruti Suzuki	Maruti Suzuki Gurugram	DLF Epitome, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002	28.4896585	77.0923014	marutisuzuki.com
Escorts Kubota	Escorts Kubota	18/4, Sector 15 Rd, Sector 15A, Faridabad, Haryana 121007	28.3905655	77.3138486	escortskubota.com
SRF Limited	SRF Limited	Block C, Uday Nagar, Sector 45, Gurugram, Haryana 122003	28.4420119	77.0614523	srf.com
DLF Limited	DLF Limited	DLF Building 9B, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002	28.4947732	77.0933785	dlf.in
Hike	Hike Private Limited	Nelson Mandela Marg, Vasant Kunj, New Delhi, Delhi 110070	28.5399032	77.1541332	hike.in
SOLV	SOLV	Spaze iTech Tower B2, Sohna Rd, Sector 49, Gurugram, Haryana 122018	28.4138566	77.0421785	solvezy.com
Bizongo	Bizongo Delhi	505, Sector 19, Pocket 1, Dwarka, Delhi 110075	28.5805923	77.0505985	bizongo.com
Livguard	Livguard Energy Technologies	Plot 221, Udyog Vihar Phase 1, Sector 20, Gurugram, Haryana 122016	28.508777	77.0837249	livguard.com
Luminous Power	Luminous Power Technologies	Plot 150, Sector 44 Rd, Sector 44, Gurugram, Haryana 122003	28.4491439	77.0767276	luminousindia.com
Appinventiv	Appinventiv	Plot 3, Sector 135, Noida, Uttar Pradesh 201304	28.5018959	77.400048	appinventiv.com
Daffodil Software	Daffodil Software	World Tech Park Tower B1, Sector 30, Gurugram, Haryana 122001	28.4651916	77.0564785	daffodilsw.com
TO THE NEW	TO THE NEW	NSL Techzone SEZ, Noida Expressway, Sector 144, Noida, Uttar Pradesh 201306	28.4958985	77.4347597	tothenew.com
Xebia India	Xebia	Capital Cyberscape, Golf Course Ext Rd, Sector 59, Gurugram, Haryana 122005	28.4011731	77.1034787	xebia.com
GlobalLogic	GlobalLogic	Oxygen Business Park Tower 3, Sector 144, Noida, Uttar Pradesh 201304	28.4989776	77.4335377	globallogic.com
