Publicis Sapient	Publicis Sapient Gurugram	Unitech Infospace Tower A, Sector 21, Gurugram, Haryana 122016	28.5101101	77.0728888	publicissapient.com
Iris Software	Iris Software Technologies	Plot 25, Sector 142, Noida, Uttar Pradesh 201304	28.5014384	77.4132584	irissoftware.com
Damco Solutions	Damco Solutions	108, HSIIDC Industrial Estate, Sector 31, Faridabad, Haryana 121003	28.4420126	77.3106798	damcogroup.com
Newgen Software	Newgen Software Technologies	E-44/13, Okhla Phase II, New Delhi, Delhi 110019	28.5348713	77.2687286	newgensoft.com
Nucleus Software	Nucleus Software Exports	A-39, Block A, Sector 62, Noida, Uttar Pradesh 201309	28.6276973	77.3719363	nucleussoftware.com
R Systems	R Systems International	Tower 1, Tech Zone IV, Greater Noida, Uttar Pradesh 201306	28.5939736	77.4393376	rsystems.com
Cvent India	Cvent India	Building 14C, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002	28.4968638	77.0941567	cvent.com
Aristocrat Technologies	Aristocrat Technologies	DLF Tower 8C, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002	28.4941994	77.089086	aristocrat.com
Peak XV Partners	Peak XV Partners Delhi	Aria Towers, JW Marriott, Aerocity, New Delhi, Delhi 110037	28.5529	77.121961	peakxv.com
Z47	Z47 Gurugram	One Horizon Center, Golf Course Rd, DLF Phase 5, Sector 43, Gurugram, Haryana 122009	28.4512385	77.098157	z47.com
Lightspeed India	Lightspeed Advisory Services India	11, Southern Ave, Maharani Bagh, New Delhi, Delhi 110065	28.569166	77.264344	lsvp.com
Elevation Capital	Elevation Capital	One Horizon Center, Golf Course Rd, DLF Phase 5, Sector 43, Gurugram, Haryana 122009	28.451268	77.0979888	elevationcapital.com
Chiratae Ventures	Chiratae Ventures Delhi	Saket District Centre, Saket, New Delhi, Delhi 110017	28.5280462	77.2204271	chiratae.com
Info Edge Ventures	Info Edge Ventures	B-8, Block B, Sector 132, Noida, Uttar Pradesh 201304	28.5133043	77.3720099	infoedgeventures.com
Eximius Ventures	Eximius Ventures	F-101, MG Road, Sikanderpur, Sector 26, Gurugram, Haryana 122002	28.4811268	77.0999298	eximiusvc.com
Trifecta Capital	Trifecta Capital	DLF Corporate Park, DLF Phase 3, Sector 24, Gurugram, Haryana 122010	28.4828494	77.1046051	trifectacapital.in
Stride Ventures	Stride Ventures	DLF Corporate Park 3B, DLF Phase 3, Sector 24, Gurugram, Haryana 122002	28.4831222	77.1050839	strideventures.global
BookMyShow	BookMyShow Noida	8 Square, Sector 125, Noida, Uttar Pradesh 201313	28.5455414	77.3294196	bookmyshow.com
VerSe Innovation	VerSe Innovation Noida	C-220, Sector 63, Noida, Uttar Pradesh 201309	28.6168571	77.3872334	verse.in
Toppr	Toppr Technologies	D-52, Sector 2, Noida, Uttar Pradesh 201301	28.5819628	77.3152794	toppr.com
